Date,Open_USD,High_USD,Low_USD,Close_USD,Volume
2006-06-12,610.99,611.59,602.95,603.45,4122500
2006-06-13,584.05,605.6,561.03,562.13,26220600
2006-06-14,569.47,572.09,553.39,559.12,12655100
2006-06-15,574.2,579.22,557.3,576.21,11907900
2006-06-16,576.01,582.34,567.26,579.83,7319400
2006-06-19,571.48,575.5,564.45,566.56,5737400
2006-06-20,569.37,577.82,564.55,576.01,11072400
2006-06-21,569.17,590.78,569.17,586.36,6162100
2006-06-22,584.75,589.17,579.63,580.33,5374800
2006-06-23,575.7,586.06,574.0,582.94,6106700
2006-06-26,585.56,586.36,577.21,585.86,3423700
2006-06-27,590.34,595.87,579.99,579.99,6515900
2006-06-28,584.69,586.0,576.65,578.56,2898900
2006-06-29,583.18,601.08,583.18,598.46,10748500
2006-06-30,611.87,616.7,609.0,615.49,7773800
2006-07-03,622.83,626.95,622.03,625.04,3078500
2006-07-05,627.99,631.0,617.54,628.19,8178400
2006-07-06,627.83,635.27,623.71,633.46,5686600
2006-07-07,631.86,634.3,628.04,629.75,5328700
2006-07-10,624.75,632.8,623.34,623.64,3512000
2006-07-11,631.76,643.33,630.45,641.62,5787000
2006-07-12,649.89,655.31,632.8,652.6,9450300
2006-07-13,654.31,660.24,644.46,658.93,12226800
2006-07-14,662.45,667.68,660.44,661.95,10035800
2006-07-17,651.69,677.0,640.42,643.24,9905000
2006-07-18,651.28,651.28,627.04,632.67,7639300
2006-07-19,629.36,646.15,628.45,644.04,7261300
2006-07-20,637.83,643.57,627.77,629.18,6402700
2006-07-21,635.66,636.27,615.74,620.77,6949300
2006-07-24,609.81,619.6,601.76,614.94,7281000
2006-07-25,616.89,619.5,609.04,619.0,4736800
2006-07-26,616.85,627.01,612.63,623.39,3376000
2006-07-27,638.76,639.56,628.91,632.42,4697300
2006-07-28,631.07,636.7,625.0,634.39,3156400
2006-07-31,634.94,646.5,627.0,635.35,3420200
2006-08-01,633.01,648.5,629.5,647.09,4669800
2006-08-02,651.33,656.16,644.7,651.43,5052000
2006-08-03,643.85,651.0,638.0,645.06,3840600
2006-08-04,652.46,653.56,643.0,646.52,4811100
2006-08-07,648.32,652.0,646.1,648.62,2493800
2006-08-08,643.42,649.35,640.0,643.31,5574200
2006-08-09,649.33,655.07,638.5,650.04,4369600
2006-08-10,643.78,651.3,633.22,636.03,6869900
2006-08-11,639.5,644.73,626.0,630.74,6962800
2006-08-14,627.63,632.76,620.0,626.22,3526100
2006-08-15,623.25,626.47,620.53,623.85,4833600
2006-08-16,630.15,632.77,626.23,628.74,3332900
2006-08-17,627.09,628.5,613.4,614.11,4215900
2006-08-18,618.54,618.64,606.57,614.02,6418400
2006-08-21,624.47,628.39,613.6,627.99,3595900
2006-08-22,624.11,628.0,619.69,624.11,4067700
2006-08-23,629.46,630.67,621.31,622.12,3573700
2006-08-24,623.55,624.5,618.0,621.24,2198000
2006-08-25,622.57,623.78,619.55,621.46,2127000
2006-08-28,621.56,621.7,611.8,613.51,3584600
2006-08-29,613.51,614.42,606.67,612.91,3609800
2006-08-30,618.44,620.15,611.8,617.73,2901600
